timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/motor_status_x,/motor_status_y,/motor_status_z,/video_frames_z
1767723869.4617083,,,,0.0,-0.0,0.0,,,,
1767723869.467595,,,,,,,,,,30
1767723869.485424,,,,,,,0.0,0.0,0.0,
1767723869.4982975,311.0835,280.162,205.365,,,,,,,
1767723869.511767,,,,0.0,-0.0,0.0,,,,
1767723869.5194066,,,,,,,,,,31
1767723869.5353243,,,,,,,0.0,0.0,0.0,
1767723869.5506005,311.0835,280.162,109.0745,,,,,,,
1767723869.561806,,,,0.0,-0.0,0.0,,,,
1767723869.5680416,,,,,,,,,,32
1767723869.5853894,,,,,,,0.0,0.0,0.0,
1767723869.59854,311.0835,280.162,104.394,,,,,,,
1767723869.613872,,,,0.0,-0.0,0.0,,,,
1767723869.6223204,,,,,,,,,,33
1767723869.6352937,,,,,,,0.0,0.0,0.0,
1767723869.6497436,311.0835,280.162,254.1005,,,,,,,
1767723869.6623185,,,,0.0,-0.0,0.0,,,,
1767723869.6718733,,,,,,,,,,34
1767723869.6855712,,,,,,,0.0,0.0,0.0,
1767723869.6982024,311.0835,280.162,254.1005,,,,,,,
1767723869.7138329,,,,0.0,-0.0,0.0,,,,
1767723869.7231455,,,,,,,,,,35
1767723869.7359455,,,,,,,0.0,0.0,0.0,
1767723869.7520397,311.0835,280.162,205.5885,,,,,,,
1767723869.7677124,,,,0.0,-0.0,0.0,,,,
1767723869.7726614,,,,,,,,,,36
1767723869.7913508,,,,,,,0.0,0.0,0.0,
1767723869.7986887,311.0835,280.162,154.207,,,,,,,
1767723869.8174732,,,,0.0,-0.0,0.0,,,,
1767723869.833273,,,,,,,,,,37
1767723869.8405015,,,,,,,0.0,0.0,0.0,
1767723869.8518498,311.0835,145.4385,154.207,,,,,,,
1767723869.8690388,,,,0.0,-0.0,0.0,,,,
1767723869.8817537,,,,,,,,,,38
1767723869.888472,,,,,,,0.0,0.0,0.0,
1767723869.904656,385.875,145.4385,108.5685,,,,,,,
1767723869.9149728,,,,0.0,-0.0,0.0,,,,
1767723869.9241834,,,,,,,,,,39
1767723869.9376917,,,,,,,0.0,0.0,0.0,
1767723869.9521582,385.875,145.4385,205.6315,,,,,,,
1767723869.96279,,,,0.0,-0.0,0.0,,,,
1767723869.9707518,,,,,,,,,,40
1767723869.9862053,,,,,,,0.0,0.0,0.0,
1767723869.9991708,385.875,145.4385,205.6315,,,,,,,
1767723870.016384,,,,0.0,-0.0,0.0,,,,
1767723870.0185254,,,,,,,,,,41
1767723870.0359976,,,,,,,0.0,0.0,0.0,
1767723870.0693574,,,,0.0,-0.0,0.0,,,,
1767723870.0725348,,,,,,,,,,42
1767723870.0726178,385.875,145.4385,205.6315,,,,,,,
1767723870.0883892,,,,,,,0.0,0.0,0.0,
1767723870.1056361,385.875,145.4385,205.5925,,,,,,,
1767723870.117728,,,,,,,,,,43
1767723870.1212955,,,,0.0,-0.0,0.0,,,,
1767723870.136933,,,,,,,0.0,0.0,0.0,
1767723870.1518066,385.875,145.4385,154.163,,,,,,,
1767723870.165693,,,,0.0,-0.0,0.0,,,,
1767723870.167365,,,,,,,,,,44
1767723870.185384,,,,,,,0.0,0.0,0.0,
1767723870.197481,385.875,145.4385,154.163,,,,,,,
1767723870.2155926,,,,0.0,-0.0,0.0,,,,
1767723870.2179592,,,,,,,,,,45
1767723870.2357204,,,,,,,0.0,0.0,0.0,
1767723870.2510076,385.875,145.4385,205.494,,,,,,,
1767723870.2619402,,,,0.0,-0.0,0.0,,,,
1767723870.268077,,,,,,,,,,46
1767723870.286655,,,,,,,0.0,0.0,0.0,
1767723870.2977908,385.875,145.4385,219.719,,,,,,,
1767723870.3116415,,,,0.0,-0.0,0.0,,,,
1767723870.3181362,,,,,,,,,,47
1767723870.3353584,,,,,,,0.0,0.0,0.0,
1767723870.3482916,385.875,145.4385,219.719,,,,,,,
1767723870.3626637,,,,0.0,-0.0,0.0,,,,
1767723870.3696632,,,,,,,,,,48
1767723870.3855162,,,,,,,0.0,3.0,0.0,
1767723870.3982143,385.875,280.7365,305.179,,,,,,,
1767723870.4119503,,,,0.0,-0.0,0.0,,,,
1767723870.4227495,,,,,,,,,,49
1767723870.4352725,,,,,,,0.0,3.0,0.0,
1767723870.449097,311.077,280.7365,204.75,,,,,,,
1767723870.4623353,,,,0.0,-0.0,0.0,,,,
1767723870.4718091,,,,,,,,,,50
1767723870.4861386,,,,,,,0.0,6.0,0.0,
1767723870.4978101,311.077,280.7365,302.1625,,,,,,,
1767723870.5128949,,,,0.0,-0.0,0.0,,,,
1767723870.521857,,,,,,,,,,51
1767723870.5351758,,,,,,,0.0,6.0,0.0,
1767723870.5536752,311.077,280.7365,203.671,,,,,,,
1767723870.561856,,,,0.0,-0.0,0.0,,,,
1767723870.5694656,,,,,,,,,,52
1767723870.5875528,,,,,,,0.0,9.0,0.0,
1767723870.5997894,311.077,277.3665,203.256,,,,,,,
1767723870.6120198,,,,0.0,-0.0,0.0,,,,
1767723870.6191974,,,,,,,,,,53
1767723870.6353302,,,,,,,0.0,9.0,0.0,
1767723870.6496427,311.077,277.3665,104.8395,,,,,,,
1767723870.6618526,,,,0.0,-0.0,0.0,,,,
1767723870.6671975,,,,,,,,,,54
1767723870.6855521,,,,,,,0.0,12.0,0.0,
1767723870.6990938,311.077,277.3665,104.8395,,,,,,,
1767723870.71279,,,,0.0,-0.0,0.0,,,,
1767723870.7186596,,,,,,,,,,55
1767723870.7357423,,,,,,,0.0,12.0,0.0,
1767723870.7489057,311.077,277.3665,201.4095,,,,,,,
1767723870.761873,,,,0.0,-0.0,0.0,,,,
1767723870.7672596,,,,,,,,,,56
1767723870.785579,,,,,,,0.0,15.0,0.0,
1767723870.798079,311.077,277.3665,106.608,,,,,,,
1767723870.8163676,,,,0.0,-0.0,0.0,,,,
1767723870.821264,,,,,,,,,,57
1767723870.8352995,,,,,,,0.0,15.0,0.0,
1767723870.850321,311.077,277.3665,106.608,,,,,,,
1767723870.8618927,,,,0.0,-0.0,0.0,,,,
1767723870.8675349,,,,,,,,,,58
1767723870.8856637,,,,,,,0.0,18.0,0.0,
1767723870.8977606,311.077,277.3665,150.5505,,,,,,,
1767723870.9130094,,,,0.0,-0.0,0.0,,,,
1767723870.9230983,,,,,,,,,,59
1767723870.9355586,,,,,,,0.0,18.0,0.0,
1767723870.9503675,311.077,277.3665,202.1145,,,,,,,
1767723870.9620774,,,,0.0,-0.0,0.0,,,,
1767723870.969695,,,,,,,,,,60
1767723870.985362,,,,,,,0.0,21.0,0.0,
1767723870.9989548,311.077,277.3665,202.1145,,,,,,,
1767723871.012738,,,,0.0,-0.0,0.0,,,,
1767723871.0189235,,,,,,,,,,61
1767723871.0353718,,,,,,,0.0,21.0,0.0,
1767723871.0506413,311.077,277.3665,106.599,,,,,,,
1767723871.061699,,,,0.0,-0.0,0.0,,,,
1767723871.0672808,,,,,,,,,,62
1767723871.0854955,,,,,,,0.0,24.0,0.0,
1767723871.098901,311.077,277.3665,106.599,,,,,,,
1767723871.112792,,,,0.0,-0.0,0.0,,,,
1767723871.119831,,,,,,,,,,63
1767723871.1353345,,,,,,,0.0,24.0,0.0,
1767723871.150914,311.077,277.3665,56.5855,,,,,,,
1767723871.1617613,,,,0.0,-0.0,0.0,,,,
1767723871.1667984,,,,,,,,,,64
1767723871.1868243,,,,,,,0.0,27.0,0.0,
1767723871.2067137,311.077,277.3665,202.705,,,,,,,
1767723871.2156496,,,,0.0,-0.0,0.0,,,,
1767723871.220797,,,,,,,,,,65
1767723871.2388601,,,,,,,0.0,27.0,0.0,
1767723871.2520914,311.077,277.3665,202.705,,,,,,,
1767723871.2655706,,,,0.0,-0.0,0.0,,,,
1767723871.2713735,,,,,,,,,,66
1767723871.2870424,,,,,,,0.0,30.0,0.0,
1767723871.2975042,311.077,277.3665,202.705,,,,,,,
1767723871.311994,,,,0.0,-0.0,0.0,,,,
1767723871.32016,,,,,,,,,,67
1767723871.335334,,,,,,,0.0,30.0,0.0,
1767723871.348886,311.077,277.3665,202.705,,,,,,,
1767723871.3625126,,,,0.0,-0.0,0.0,,,,
1767723871.3723443,,,,,,,,,,68
1767723871.3855264,,,,,,,0.0,33.0,0.0,
1767723871.397346,311.077,277.3665,202.705,,,,,,,
1767723871.411683,,,,0.0,-0.0,0.0,,,,
1767723871.4236302,,,,,,,,,,69
1767723871.436311,,,,,,,0.0,33.0,0.0,
1767723871.4492028,306.3845,277.3665,202.705,,,,,,,
1767723871.461922,,,,0.0,-0.0,0.0,,,,
1767723871.4690628,,,,,,,,,,70
1767723871.485632,,,,,,,0.0,36.0,0.0,
1767723871.4993005,306.3845,277.3665,202.705,,,,,,,
1767723871.5115342,,,,0.0,-0.0,0.0,,,,
1767723871.5180886,,,,,,,,,,71
1767723871.5354986,,,,,,,0.0,36.0,0.0,
1767723871.5500057,306.3845,173.146,302.435,,,,,,,
1767723871.561816,,,,0.0,-0.0,0.0,,,,
1767723871.567683,,,,,,,,,,72
1767723871.5854793,,,,,,,0.0,39.0,0.0,
1767723871.5993826,306.3845,173.146,302.435,,,,,,,
1767723871.6117272,,,,0.0,-0.0,0.0,,,,
1767723871.620291,,,,,,,,,,73
1767723871.6353037,,,,,,,0.0,39.0,0.0,
1767723871.6509814,306.3845,173.146,303.8595,,,,,,,
1767723871.6617706,,,,0.0,-0.0,0.0,,,,
1767723871.6680777,,,,,,,,,,74
1767723871.6854043,,,,,,,0.0,42.0,0.0,
1767723871.6973822,306.3845,341.22,122.885,,,,,,,
1767723871.711869,,,,0.0,-0.0,0.0,,,,
1767723871.7200918,,,,,,,,,,75
1767723871.7357247,,,,,,,0.0,42.0,0.0,
1767723871.748004,306.3845,341.22,122.885,,,,,,,
1767723871.7619243,,,,0.0,-0.0,0.0,,,,
1767723871.7671347,,,,,,,,,,76
1767723871.7855778,,,,,,,0.0,45.0,0.0,
1767723871.797128,306.3845,341.22,204.798,,,,,,,
1767723871.8119864,,,,0.0,-0.0,0.0,,,,
1767723871.821644,,,,,,,,,,77
1767723871.8355052,,,,,,,0.0,45.0,0.0,
1767723871.8498058,306.3845,341.22,204.9575,,,,,,,
1767723871.8621354,,,,0.0,-0.0,0.0,,,,
1767723871.8696551,,,,,,,,,,78
1767723871.885481,,,,,,,0.0,48.0,0.0,
1767723871.8982038,306.3845,347.0915,205.1665,,,,,,,
1767723871.9122808,,,,0.0,-0.0,0.0,,,,
1767723871.9226282,,,,,,,,,,79
1767723871.935357,,,,,,,0.0,48.0,0.0,
1767723871.9495785,306.3845,347.0915,205.4945,,,,,,,
1767723871.961962,,,,0.0,-0.0,0.0,,,,
1767723871.9721024,,,,,,,,,,80
1767723871.9856393,,,,,,,0.0,51.0,0.0,
1767723871.997687,460.9075,347.0915,205.5265,,,,,,,
1767723872.0118253,,,,0.0,-0.0,0.0,,,,
1767723872.0208755,,,,,,,,,,81
1767723872.0355055,,,,,,,0.0,51.0,0.0,
1767723872.0504014,460.9075,353.243,108.6145,,,,,,,
1767723872.0620275,,,,0.0,-0.0,0.0,,,,
1767723872.0678468,,,,,,,,,,82
1767723872.0856571,,,,,,,0.0,54.0,0.0,
1767723872.098596,460.9075,353.243,154.406,,,,,,,
1767723872.111641,,,,0.0,-0.0,0.0,,,,
1767723872.118641,,,,,,,,,,83
1767723872.1353652,,,,,,,0.0,54.0,0.0,
1767723872.1476889,310.269,353.243,206.268,,,,,,,
1767723872.161612,,,,0.0,-0.0,0.0,,,,
1767723872.1670856,,,,,,,,,,84
1767723872.185763,,,,,,,0.0,57.0,0.0,
1767723872.1971116,310.269,353.243,-1469.652,,,,,,,
1767723872.211818,,,,0.0,-0.0,0.0,,,,
1767723872.2212214,,,,,,,,,,85
1767723872.235353,,,,,,,0.0,57.0,0.0,
1767723872.247538,310.269,268.501,206.6995,,,,,,,
1767723872.2616916,,,,0.0,-0.0,0.0,,,,
1767723872.2700949,,,,,,,,,,86
1767723872.285613,,,,,,,0.0,60.0,0.0,
1767723872.2963219,310.269,268.501,206.887,,,,,,,
1767723872.311632,,,,0.0,-0.0,0.0,,,,
1767723872.3216538,,,,,,,,,,87
1767723872.3353786,,,,,,,0.0,60.0,0.0,
1767723872.3479152,310.596,268.501,206.887,,,,,,,
1767723872.3615117,,,,0.0,-0.0,0.0,,,,
1767723872.368975,,,,,,,,,,88
1767723872.3856921,,,,,,,0.0,63.0,0.0,
1767723872.3970077,310.596,268.501,207.4455,,,,,,,
1767723872.4115448,,,,0.0,-0.0,0.0,,,,
1767723872.4213836,,,,,,,,,,89
1767723872.435529,,,,,,,0.0,63.0,0.0,
1767723872.4487557,310.596,268.501,207.5975,,,,,,,
1767723872.4626129,,,,0.0,-0.0,0.0,,,,
1767723872.4691873,,,,,,,,,,90
1767723872.48584,,,,,,,0.0,66.0,0.0,
