timestamp,/motor_status_x,/motor_status_y,/motor_status_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/load_data_x,/load_data_y,/load_data_z
1767723325.0095518,,,,0.0,-0.0,0.0,,,,
1767723325.0098,,,,,,,,206.694,246.5445,8.419
1767723325.048811,-20.0,-20.0,-20.0,,,,,,,
1767723325.055734,,,,,,,96,,,
1767723325.0606782,,,,0.0,-0.0,0.0,,,,
1767723325.060745,,,,,,,,206.694,246.5445,175.7735
1767723325.098551,-21.0,-21.0,-21.0,,,,,,,
1767723325.105137,,,,,,,97,,,
1767723325.1100981,,,,0.0,-0.0,0.0,,,,
1767723325.1107981,,,,,,,,206.694,246.5445,175.7735
1767723325.1495352,-21.0,-21.0,-21.0,,,,,,,
1767723325.156883,,,,,,,98,,,
1767723325.1585863,,,,0.0,-0.0,0.0,,,,
1767723325.1614192,,,,,,,,206.694,245.778,115.4535
1767723325.1987123,-22.0,-22.0,-22.0,,,,,,,
1767723325.204346,,,,,,,99,,,
1767723325.2110355,,,,,,,,206.694,245.778,175.7145
1767723325.2115953,,,,0.0,-0.0,0.0,,,,
1767723325.2489705,-22.0,-22.0,-22.0,,,,,,,
1767723325.2559817,,,,,,,100,,,
1767723325.2584832,,,,0.0,-0.0,0.0,,,,
1767723325.2606914,,,,,,,,206.694,245.778,175.7145
1767723325.2982364,-23.0,-23.0,-23.0,,,,,,,
1767723325.3038657,,,,,,,101,,,
1767723325.3100467,,,,0.0,-0.0,0.0,,,,
1767723325.3108687,,,,,,,,206.694,245.5095,175.7145
1767723325.3488188,-23.0,-23.0,-23.0,,,,,,,
1767723325.3553069,,,,,,,102,,,
1767723325.3590462,,,,0.0,-0.0,0.0,,,,
1767723325.360209,,,,,,,,206.694,245.5095,175.7145
1767723325.398302,-24.0,-24.0,-24.0,,,,,,,
1767723325.4038675,,,,,,,103,,,
1767723325.4104984,,,,,,,,206.694,245.5095,175.7145
1767723325.4105744,,,,0.0,-0.0,0.0,,,,
1767723325.4500296,-24.0,-24.0,-24.0,,,,,,,
1767723325.4558296,,,,,,,104,,,
1767723325.4585533,,,,0.0,-0.0,0.0,,,,
1767723325.460253,,,,,,,,206.694,245.5095,175.7145
1767723325.4985294,-25.0,-25.0,-25.0,,,,,,,
1767723325.5051777,,,,,,,105,,,
1767723325.510051,,,,0.0,-0.0,0.0,,,,
1767723325.510538,,,,,,,,142.143,244.9465,176.8935
1767723325.5493622,-25.0,-25.0,-25.0,,,,,,,
1767723325.557063,,,,,,,106,,,
1767723325.5588343,,,,0.0,-0.0,0.0,,,,
1767723325.561202,,,,,,,,142.143,244.9465,176.8935
1767723325.5983849,-26.0,-26.0,-26.0,,,,,,,
1767723325.6049519,,,,,,,107,,,
1767723325.6098049,,,,0.0,-0.0,0.0,,,,
1767723325.6103818,,,,,,,,142.143,244.9465,282.639
1767723325.6488347,-26.0,-26.0,-26.0,,,,,,,
1767723325.655745,,,,,,,108,,,
1767723325.658508,,,,0.0,-0.0,0.0,,,,
1767723325.6611197,,,,,,,,276.52,244.5455,175.14
1767723325.6982453,-27.0,-27.0,-27.0,,,,,,,
1767723325.7035356,,,,,,,109,,,
1767723325.7111344,,,,,,,,276.52,244.5455,175.1255
1767723325.711225,,,,0.0,-0.0,0.0,,,,
1767723325.7487154,-27.0,-27.0,-27.0,,,,,,,
1767723325.7555776,,,,,,,110,,,
1767723325.7593663,,,,0.0,-0.0,0.0,,,,
1767723325.760295,,,,,,,,276.52,244.5455,175.1205
1767723325.7984047,-28.0,-28.0,-28.0,,,,,,,
1767723325.8041835,,,,,,,111,,,
1767723325.81102,,,,,,,,276.52,244.5455,93.2465
1767723325.8120291,,,,0.0,-0.0,0.0,,,,
1767723325.8493123,-28.0,-28.0,-28.0,,,,,,,
1767723325.857053,,,,,,,112,,,
1767723325.858634,,,,0.0,-0.0,0.0,,,,
1767723325.860518,,,,,,,,276.509,244.629,93.2465
1767723325.898537,-29.0,-29.0,-29.0,,,,,,,
1767723325.9058473,,,,,,,113,,,
1767723325.908717,,,,0.0,-0.0,0.0,,,,
1767723325.9105947,,,,,,,,276.509,244.629,175.072
1767723325.949078,-29.0,-29.0,-29.0,,,,,,,
1767723325.957139,,,,,,,114,,,
1767723325.958886,,,,0.0,-0.0,0.0,,,,
1767723325.9608424,,,,,,,,276.509,244.629,174.943
1767723325.9982862,-30.0,-30.0,-30.0,,,,,,,
1767723326.0048225,,,,,,,115,,,
1767723326.0095105,,,,0.0,-0.0,0.0,,,,
1767723326.0104554,,,,,,,,276.356,244.629,49.464
1767723326.0484967,-30.0,-30.0,-30.0,,,,,,,
1767723326.0559087,,,,,,,116,,,
1767723326.0584807,,,,0.0,-0.0,0.0,,,,
1767723326.0607083,,,,,,,,276.356,244.629,49.464
1767723326.0983124,-31.0,-31.0,-31.0,,,,,,,
1767723326.1042707,,,,,,,117,,,
1767723326.1092067,,,,0.0,-0.0,0.0,,,,
1767723326.110425,,,,,,,,276.356,244.629,174.9795
1767723326.14898,-31.0,-31.0,-31.0,,,,,,,
1767723326.1564016,,,,,,,118,,,
1767723326.16175,,,,0.0,-0.0,0.0,,,,
1767723326.1618264,,,,,,,,276.356,244.629,174.954
1767723326.1983962,-32.0,-32.0,-32.0,,,,,,,
1767723326.2058492,,,,,,,119,,,
1767723326.208684,,,,0.0,-0.0,0.0,,,,
1767723326.2105484,,,,,,,,276.172,244.629,93.593
1767723326.2496579,-32.0,-32.0,-32.0,,,,,,,
1767723326.2575157,,,,,,,120,,,
1767723326.25961,,,,0.0,-0.0,0.0,,,,
1767723326.2607524,,,,,,,,276.172,244.629,174.818
1767723326.2985535,-33.0,-33.0,-33.0,,,,,,,
1767723326.3057783,,,,,,,121,,,
1767723326.3089228,,,,0.0,-0.0,0.0,,,,
1767723326.3115573,,,,,,,,276.172,244.629,174.816
1767723326.3489766,-33.0,-33.0,-33.0,,,,,,,
1767723326.3616147,,,,,,,122,,,
1767723326.361716,,,,0.0,-0.0,0.0,,,,
1767723326.3617356,,,,,,,,276.0205,244.629,174.858
1767723326.3983073,-34.0,-34.0,-34.0,,,,,,,
1767723326.404873,,,,,,,123,,,
1767723326.408792,,,,0.0,-0.0,0.0,,,,
1767723326.4108465,,,,,,,,276.0205,244.629,174.708
1767723326.4496071,-34.0,-34.0,-34.0,,,,,,,
1767723326.4578257,,,,,,,124,,,
1767723326.4588923,,,,0.0,-0.0,0.0,,,,
1767723326.466875,,,,,,,,276.0205,244.629,174.7065
1767723326.4986358,-35.0,-35.0,-35.0,,,,,,,
1767723326.5042996,,,,,,,125,,,
1767723326.511976,,,,0.0,-0.0,0.0,,,,
1767723326.5120392,,,,,,,,276.0205,244.629,109.2505
1767723326.5495858,-35.0,-35.0,-35.0,,,,,,,
1767723326.5569437,,,,,,,126,,,
